Cause num,Order num,Doc,Name
535,153,['DownloadDocument.aspx?DocumentId=2947576'],['APPLICATION OF HEARING']
535,153,['DownloadDocument.aspx?DocumentId=2947577'],['NOTICE OF HEARING']
535,153,['DownloadDocument.aspx?DocumentId=2947578'],['CERTIFICATE OF MAILING']
535,153,['DownloadDocument.aspx?DocumentId=2947579'],['PROOF OF PUBLICATION']
535,153,['DownloadDocument.aspx?DocumentId=2947580'],['PROOF OF PUBLICATION']
535,153,['DownloadDocument.aspx?DocumentId=2947581'],['RULE 511 REQUEST W/ EXHIBITS']
535,153,['DownloadDocument.aspx?DocumentId=2947582'],['ORDER']
535,153,['DownloadDocument.aspx?DocumentId=2947583'],['ORDER MAILED']
112,247,['DownloadDocument.aspx?DocumentId=3665372'],['ORDER']
112,247,['DownloadDocument.aspx?DocumentId=3665373'],['511 REQUEST WITH EXHIBITS']
112,247,['DownloadDocument.aspx?DocumentId=3665374'],['CONTINUANCE']
112,247,['DownloadDocument.aspx?DocumentId=3665375'],['NOTICE OF HEARING']
112,247,['DownloadDocument.aspx?DocumentId=3665376'],['APPLICATION OF HEARING']
535,658,['DownloadDocument.aspx?DocumentId=3648448'],['ORDER']
535,658,['DownloadDocument.aspx?DocumentId=3648449'],['511 REQUEST WITH EXHIBITS']
535,658,['DownloadDocument.aspx?DocumentId=3648450'],['NOTICE OF HEARING']
535,658,['DownloadDocument.aspx?DocumentId=3648451'],['APPLICATION OF HEARING']
535,212,['DownloadDocument.aspx?DocumentId=3038233'],['ORDER MAILED']
535,212,['DownloadDocument.aspx?DocumentId=3038234'],['ORDER']
535,212,['DownloadDocument.aspx?DocumentId=3038235'],['WITHDRAWAL OF PROTEST']
535,212,['DownloadDocument.aspx?DocumentId=3038236'],['511 REQUEST WITH EXHIBITS']
535,212,['DownloadDocument.aspx?DocumentId=3038237'],['PROOF OF PUBLICATION']
535,212,['DownloadDocument.aspx?DocumentId=3038238'],['PROOF OF PUBLICATION']
535,212,['DownloadDocument.aspx?DocumentId=3038239'],['CONTINUANCE']
535,212,['DownloadDocument.aspx?DocumentId=3038240'],['CONTINUANCE']
535,212,['DownloadDocument.aspx?DocumentId=3038241'],['PROTEST']
535,212,['DownloadDocument.aspx?DocumentId=3038242'],['CERTIFICATE OF MAILING']
535,212,['DownloadDocument.aspx?DocumentId=3038243'],['NOTICE OF HEARING']
535,212,['DownloadDocument.aspx?DocumentId=3038244'],['APPLICATION OF HEARING']
535,212,['DownloadDocument.aspx?DocumentId=3038245'],['RETURNED MAIL']
112,224,['DownloadDocument.aspx?DocumentId=2651740'],['RETURNED MAIL']
112,224,['DownloadDocument.aspx?DocumentId=2651741'],['EXHIBITS']
112,224,['DownloadDocument.aspx?DocumentId=2651784'],['ORDER MAILED']
112,224,['DownloadDocument.aspx?DocumentId=2651786'],['CONDITIONAL WITHDRAWAL']
112,224,['DownloadDocument.aspx?DocumentId=2651787'],['LETTER OF SUPPORT']
112,224,['DownloadDocument.aspx?DocumentId=2651788'],['LETTER OF SUPPORT']
112,224,['DownloadDocument.aspx?DocumentId=2651789'],['511 REQUEST']
112,224,['DownloadDocument.aspx?DocumentId=2651790'],['INTERVENTION']
112,224,['DownloadDocument.aspx?DocumentId=2651791'],['CERTIFICATE OF MAILING']
112,224,['DownloadDocument.aspx?DocumentId=2651792'],['PROOF OF PUBLICATION']
112,224,['DownloadDocument.aspx?DocumentId=2651793'],['NOTICE OF HEARING']
112,224,['DownloadDocument.aspx?DocumentId=2651794'],['ADDITIONAL INTERESTED PARTIES']
112,224,['DownloadDocument.aspx?DocumentId=2651795'],['APPLICATION OF HEARING']
112,224,['DownloadDocument.aspx?DocumentId=3633656'],['ORDER']
225,1,['DownloadDocument.aspx?DocumentId=1364984'],['letter from engineering firm re:evaluation']
225,1,['DownloadDocument.aspx?DocumentId=1367478'],['notice of hearing']
225,1,['DownloadDocument.aspx?DocumentId=1372308'],['commission report']
225,1,['DownloadDocument.aspx?DocumentId=1378473'],['signatures of overriding royalty owners']
225,1,['DownloadDocument.aspx?DocumentId=1379787'],['signatures from working interest owners']
225,1,['DownloadDocument.aspx?DocumentId=1383531'],['notice']
225,1,['DownloadDocument.aspx?DocumentId=1386225'],['signatures to unitzation agreement']
225,1,['DownloadDocument.aspx?DocumentId=1387840'],['exhibit A-1']
225,1,['DownloadDocument.aspx?DocumentId=1387918'],['exhibit E']
225,1,['DownloadDocument.aspx?DocumentId=1769868'],['exhibit B']
225,1,['DownloadDocument.aspx?DocumentId=1777487'],"['exhibits C, D']"
225,1,['DownloadDocument.aspx?DocumentId=1783372'],['exhibit D']
225,1,['DownloadDocument.aspx?DocumentId=1784039'],['exhibit F']
225,1,['DownloadDocument.aspx?DocumentId=1790811'],['exhibit B']
225,1,['DownloadDocument.aspx?DocumentId=1801295'],['exhibit A']
225,1,['DownloadDocument.aspx?DocumentId=1802084'],['application']
225,1,['DownloadDocument.aspx?DocumentId=1806709'],['exhibit A']
225,1,['DownloadDocument.aspx?DocumentId=1812553'],['transcript']
407,1054,['DownloadDocument.aspx?DocumentId=3392150'],['ORDER MAILED']
407,1054,['DownloadDocument.aspx?DocumentId=3392151'],['ORDER']
407,1054,['DownloadDocument.aspx?DocumentId=3392152'],['511 REQUEST WITH EXHIBITS']
407,1054,['DownloadDocument.aspx?DocumentId=3392153'],['PROOF OF PUBLICATION']
407,1054,['DownloadDocument.aspx?DocumentId=3392154'],['CERTIFICATE OF MAILING']
407,1054,['DownloadDocument.aspx?DocumentId=3392155'],['NOTICE OF HEARING']
407,1054,['DownloadDocument.aspx?DocumentId=3392156'],['CERTIFICATE OF MAILING']
407,1054,['DownloadDocument.aspx?DocumentId=3392157'],['APPLICATION OF HEARING']
407,1834,['DownloadDocument.aspx?DocumentId='],[]
535,569,['DownloadDocument.aspx?DocumentId=3575604'],['RETURNED MAIL']
535,569,['DownloadDocument.aspx?DocumentId=3575605'],['ORDER']
535,569,['DownloadDocument.aspx?DocumentId=3575606'],['511 REQUEST WITH EXHIBITS']
535,569,['DownloadDocument.aspx?DocumentId=3575607'],['APPLICATION OF HEARING']
407,1700,['DownloadDocument.aspx?DocumentId=3929917'],[]
407,1700,['DownloadDocument.aspx?DocumentId=3929945'],['RETURNED MAIL']
407,1700,['DownloadDocument.aspx?DocumentId=3929947'],['ORDER']
407,1700,['DownloadDocument.aspx?DocumentId=3929949'],['511 DOCUMENTS']
407,1700,['DownloadDocument.aspx?DocumentId=3929951'],['NOTICE(S)']
407,1700,['DownloadDocument.aspx?DocumentId=3929953'],['CONTINUATION(S) &/OR CORRESPONDENCE(S)']
407,1700,['DownloadDocument.aspx?DocumentId=3929955'],['APPLICATION / AMENDED APP(S) & SUPPORTING DOCS']
523,6,['DownloadDocument.aspx?DocumentId=2464021'],['NOTICE OF HEARING']
523,6,['DownloadDocument.aspx?DocumentId=2464026'],['ORDER MAILED']
523,6,['DownloadDocument.aspx?DocumentId=2464027'],['ORDER']
523,6,['DownloadDocument.aspx?DocumentId=2464028'],['EMAIL: CONSULTATION UNDER COGCC RULE 306.c.']
523,6,['DownloadDocument.aspx?DocumentId=2464029'],['REQUEST FOR APPROVAL OF VERIFIED APPLICATION']
523,6,['DownloadDocument.aspx?DocumentId=2464030'],['LETTER: CDPHE RECOMMENDATIONS']
523,6,['DownloadDocument.aspx?DocumentId=2464031'],['NOTICE OF HEARING']
523,6,['DownloadDocument.aspx?DocumentId=2464032'],['PROOF OF PUBLICATION']
523,6,['DownloadDocument.aspx?DocumentId=2464033'],['PARTIES NOTIFIED']
523,6,['DownloadDocument.aspx?DocumentId=2464035'],['APPLICATION']
523,6,['DownloadDocument.aspx?DocumentId=2464036'],['RETURNED MAIL']
523,6,['DownloadDocument.aspx?DocumentId=2464140'],['PROPOSED SPACING UNIT']
523,6,['DownloadDocument.aspx?DocumentId=2464142'],['PROPOSED SPACING UNIT']
535,269,['DownloadDocument.aspx?DocumentId=3108170'],['ORDER MAILED']
535,269,['DownloadDocument.aspx?DocumentId=3108171'],['ORDER']
535,269,['DownloadDocument.aspx?DocumentId=3108172'],['PROOF OF PUBLICATION']
535,269,['DownloadDocument.aspx?DocumentId=3108173'],['PROOF OF PUBLICATION']
535,269,['DownloadDocument.aspx?DocumentId=3108174'],['PROOF OF PUBLICATION']
535,269,['DownloadDocument.aspx?DocumentId=3108175'],['CERTIFICATE OF MAILING']
535,269,['DownloadDocument.aspx?DocumentId=3108176'],['AMENDED NOTICE OF HEARING']
535,269,['DownloadDocument.aspx?DocumentId=3108177'],['511 REQUEST WITH EXHIBITS']
535,269,['DownloadDocument.aspx?DocumentId=3108178'],['CERTIFICATE OF MAILING']
535,269,['DownloadDocument.aspx?DocumentId=3108179'],['NOTICE OF HEARING']
535,269,['DownloadDocument.aspx?DocumentId=3108180'],['CERTIFICATE OF MAILING']
535,269,['DownloadDocument.aspx?DocumentId=3108181'],['APPLICATION OF HEARING']
535,269,['DownloadDocument.aspx?DocumentId=3108182'],['RETURNED MAIL']
369,5,['DownloadDocument.aspx?DocumentId=2031166'],['Shared File']
371,5,['DownloadDocument.aspx?DocumentId=2639695'],['EXHIBITS']
371,5,['DownloadDocument.aspx?DocumentId=2639715'],['MAILING/ORDER']
371,5,['DownloadDocument.aspx?DocumentId=2639716'],['ORDER']
371,5,['DownloadDocument.aspx?DocumentId=2639717'],['EMAIL CORRESPONDENCES']
371,5,['DownloadDocument.aspx?DocumentId=2639718'],['SUPPLEMENTAL RESPONSES']
371,5,['DownloadDocument.aspx?DocumentId=2639719'],['CDPHE CONSULTATION']
371,5,['DownloadDocument.aspx?DocumentId=2639720'],['RESPONSE TO PROTEST']
371,5,['DownloadDocument.aspx?DocumentId=2639721'],['PROTEST']
371,5,['DownloadDocument.aspx?DocumentId=2639722'],['PROOF OF PUBLICATION']
371,5,['DownloadDocument.aspx?DocumentId=2639723'],['NOTICE MAILED']
371,5,['DownloadDocument.aspx?DocumentId=2639724'],['NOTICE OF HEARING']
371,5,['DownloadDocument.aspx?DocumentId=2639725'],['APPLICATION OF HEARING']
407,1228,['DownloadDocument.aspx?DocumentId=3586312'],['RETURNED MAIL']
407,1228,['DownloadDocument.aspx?DocumentId=3586313'],['ORDER']
407,1228,['DownloadDocument.aspx?DocumentId=3586317'],['511 REQUEST WITH EXHIBITS']
407,1228,['DownloadDocument.aspx?DocumentId=3586320'],['NOTICE OF HEARING']
407,1228,['DownloadDocument.aspx?DocumentId=3586321'],['APPLICATION OF HEARING']
407,595,['DownloadDocument.aspx?DocumentId=2953194'],['APPLICATION OF HEARING']
407,595,['DownloadDocument.aspx?DocumentId=2953195'],['NOTICE OF HEARING']
407,595,['DownloadDocument.aspx?DocumentId=2953196'],['CERTIFICATE OF MAILING']
407,595,['DownloadDocument.aspx?DocumentId=2953197'],['PROOF OF PUBLICATION']
407,595,['DownloadDocument.aspx?DocumentId=2953198'],['PROOF OF PUBLICATION']
407,595,['DownloadDocument.aspx?DocumentId=2953199'],['RULE 511 REQUEST W/ EXHIBITS']
407,595,['DownloadDocument.aspx?DocumentId=2953200'],['ORDER']
407,595,['DownloadDocument.aspx?DocumentId=2953201'],['ORDER MAILED']
407,595,['DownloadDocument.aspx?DocumentId=2953202'],['RETURNED MAIL']
535,604,['DownloadDocument.aspx?DocumentId=3570219'],['ORDER']
535,604,['DownloadDocument.aspx?DocumentId=3570221'],['511 REQUEST WITH EXHIBITS']
535,604,['DownloadDocument.aspx?DocumentId=3570222'],['NOTICE OF HEARING']
535,604,['DownloadDocument.aspx?DocumentId=3570223'],['APPLICATION OF HEARING']
407,1428,['DownloadDocument.aspx?DocumentId=3693631'],['RETURNED MAIL']
407,1428,['DownloadDocument.aspx?DocumentId=3693632'],['ORDER']
407,1428,['DownloadDocument.aspx?DocumentId=3693633'],['511 REQUEST WITH EXHIBITS']
407,1428,['DownloadDocument.aspx?DocumentId=3693634'],['NOTICE OF HEARING']
407,1428,['DownloadDocument.aspx?DocumentId=3693635'],['APPLICATION OF HEARING']
139,55,['DownloadDocument.aspx?DocumentId=1364459'],['Order/Report of Commission']
139,55,['DownloadDocument.aspx?DocumentId=1370310'],['Exhibit L3: Mineral Ownership Spacing Order']
139,55,['DownloadDocument.aspx?DocumentId=1372190'],['Encana Exhibits: Hearing Packet']
139,55,['DownloadDocument.aspx?DocumentId=1377152'],['Returned Mail']
139,55,['DownloadDocument.aspx?DocumentId=1378861'],['Exhibit L2: Surface Ownership Spacing Order']
139,55,['DownloadDocument.aspx?DocumentId=1380090'],['Exhibit G-2: Drill Depth to Top Rollins']
139,55,['DownloadDocument.aspx?DocumentId=1386638'],['Exhibit E2: Natural & Induced Fracture Diagrams']
139,55,['DownloadDocument.aspx?DocumentId=1389302'],['Parties Notified']
139,55,['DownloadDocument.aspx?DocumentId=1767995'],['Email re: Woodard Gates/May Energy']
139,55,['DownloadDocument.aspx?DocumentId=1772741'],"['Proof of Publication: Denver Daily Journal, Citizen Telegram']"
139,55,['DownloadDocument.aspx?DocumentId=1774781'],['Notice of Hearing']
139,55,['DownloadDocument.aspx?DocumentId=1787489'],"['Exhibit L1: Map, Spacing Order/Applications Area']"
139,55,['DownloadDocument.aspx?DocumentId=1789072'],['Verification']
139,55,['DownloadDocument.aspx?DocumentId=1795485'],['Exhibit G-4: Williams Fork OGIP']
139,55,['DownloadDocument.aspx?DocumentId=1799398'],['Report of the Hearing Officer']
139,55,['DownloadDocument.aspx?DocumentId=1802514'],['Exhibit G-3: Iles OGIP']
139,55,['DownloadDocument.aspx?DocumentId=1810251'],['Application: EnCana Oil & Gas']
139,55,['DownloadDocument.aspx?DocumentId=1811561'],"['Exhibit G1: Stratigraphic Chart, S. Parachute Area']"
139,55,['DownloadDocument.aspx?DocumentId=1815223'],['Parties Notified']
493,41,['DownloadDocument.aspx?DocumentId='],[]
376,1,['DownloadDocument.aspx?DocumentId=1364513'],['exhibit 6']
376,1,['DownloadDocument.aspx?DocumentId=1370207'],['application area A']
376,1,['DownloadDocument.aspx?DocumentId=1371820'],['request for publication']
376,1,['DownloadDocument.aspx?DocumentId=1375221'],['notice of hearing']
376,1,['DownloadDocument.aspx?DocumentId=1381518'],['exhibit 3']
376,1,['DownloadDocument.aspx?DocumentId=1381600'],['exhibit 7']
376,1,['DownloadDocument.aspx?DocumentId=1381917'],['exhibit 9']
376,1,['DownloadDocument.aspx?DocumentId=1384803'],['exhibit 5 - well data']
376,1,['DownloadDocument.aspx?DocumentId=1766397'],['exhibit 2']
376,1,['DownloadDocument.aspx?DocumentId=1768345'],['exhibit 8 - economic evaluation']
376,1,['DownloadDocument.aspx?DocumentId=1768799'],['interested parties']
376,1,['DownloadDocument.aspx?DocumentId=1770324'],['exhibit 9']
376,1,['DownloadDocument.aspx?DocumentId=1773635'],['exhibit 10']
376,1,['DownloadDocument.aspx?DocumentId=1774387'],['letter attorney to COGCC re:typo. error']
376,1,['DownloadDocument.aspx?DocumentId=1774437'],['publication']
376,1,['DownloadDocument.aspx?DocumentId=1775227'],['exhibit 1']
376,1,['DownloadDocument.aspx?DocumentId=1781087'],['amended application area B']
376,1,['DownloadDocument.aspx?DocumentId=1783016'],['letter oil co. to COGCC']
376,1,['DownloadDocument.aspx?DocumentId=1786247'],['interested parties']
376,1,['DownloadDocument.aspx?DocumentId=1794444'],['amended application - area A']
376,1,['DownloadDocument.aspx?DocumentId=1797425'],['request for publication']
376,1,['DownloadDocument.aspx?DocumentId=1801325'],['exhibit 8 - economic evaluation']
376,1,['DownloadDocument.aspx?DocumentId=1801573'],['publication']
376,1,['DownloadDocument.aspx?DocumentId=1801864'],['request for publication']
376,1,['DownloadDocument.aspx?DocumentId=1805671'],['commission report']
376,1,['DownloadDocument.aspx?DocumentId=1809234'],['exhibit 4']
376,1,['DownloadDocument.aspx?DocumentId=1809976'],['application area B']
376,1,['DownloadDocument.aspx?DocumentId=1815525'],['transcript']
250,27,['DownloadDocument.aspx?DocumentId=1364829'],['transcript']
250,27,['DownloadDocument.aspx?DocumentId=1364908'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1365434'],['request for and proof of publication']
250,27,['DownloadDocument.aspx?DocumentId=1366369'],['unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1371039'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1371694'],['letter and order copy COGCC to Weld county']
250,27,['DownloadDocument.aspx?DocumentId=1376220'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1381373'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1383082'],['publication']
250,27,['DownloadDocument.aspx?DocumentId=1383864'],['special use permit application']
250,27,['DownloadDocument.aspx?DocumentId=1387480'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1387805'],['figure 4']
250,27,['DownloadDocument.aspx?DocumentId=1387956'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1388193'],['unit operating unit']
250,27,['DownloadDocument.aspx?DocumentId=1390301'],['commission report']
250,27,['DownloadDocument.aspx?DocumentId=1768790'],['letter to COGCC']
250,27,['DownloadDocument.aspx?DocumentId=1769313'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1771120'],['interested parties']
250,27,['DownloadDocument.aspx?DocumentId=1771419'],['exhibit 2']
250,27,['DownloadDocument.aspx?DocumentId=1772643'],['exhibit D accounting procedures']
250,27,['DownloadDocument.aspx?DocumentId=1772925'],['U.S.Dept of Interior to oil co. w/aproval-certification-dete']
250,27,['DownloadDocument.aspx?DocumentId=1775304'],['notice of hearing']
250,27,['DownloadDocument.aspx?DocumentId=1777536'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1779054'],['figure 2']
250,27,['DownloadDocument.aspx?DocumentId=1783157'],['figure 3']
250,27,['DownloadDocument.aspx?DocumentId=1783175'],['exhibit 3']
250,27,['DownloadDocument.aspx?DocumentId=1783505'],['exhibit 4']
250,27,['DownloadDocument.aspx?DocumentId=1783627'],['request for publication']
250,27,['DownloadDocument.aspx?DocumentId=1788293'],['figure 7']
250,27,['DownloadDocument.aspx?DocumentId=1790433'],['application']
250,27,['DownloadDocument.aspx?DocumentId=1790752'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1792956'],['application']
250,27,['DownloadDocument.aspx?DocumentId=1793865'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1795665'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1796453'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1797363'],['figure 4 (3 fields)']
250,27,['DownloadDocument.aspx?DocumentId=1798826'],['exhibit']
250,27,['DownloadDocument.aspx?DocumentId=1799500'],['letter attorney to COGCC']
250,27,['DownloadDocument.aspx?DocumentId=1803643'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1804501'],['figure 6']
250,27,['DownloadDocument.aspx?DocumentId=1804774'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1805581'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1807415'],['exhibit 1']
250,27,['DownloadDocument.aspx?DocumentId=1812734'],['agreement to become a party to unit agreement']
250,27,['DownloadDocument.aspx?DocumentId=1813429'],['exhibit (well log)']
250,27,['DownloadDocument.aspx?DocumentId=1815011'],"['exhibits 5,6,7-A,7-B']"
407,414,['DownloadDocument.aspx?DocumentId=2791719'],['511 REQUEST WITH EXHIBITS']
407,414,['DownloadDocument.aspx?DocumentId=2791720'],['ORDER MAILED']
407,414,['DownloadDocument.aspx?DocumentId=2791721'],['ORDER']
407,414,['DownloadDocument.aspx?DocumentId=2791722'],['PROOF OF PUBLICATION']
407,414,['DownloadDocument.aspx?DocumentId=2791723'],['CERTIFICATE OF MAILING']
407,414,['DownloadDocument.aspx?DocumentId=2791724'],['NOTICE OF HEARING']
407,414,['DownloadDocument.aspx?DocumentId=2791725'],['APPLICATION OF HEARING']
232,284,['DownloadDocument.aspx?DocumentId=2800055'],['RETURNED MAIL']
